,No,Place,Title,Type,Price,Programme,Advert,Review,Notes,DateTime
1707,1708,MIT,THREE ITALIANS 73 *,CB,5s,MUSIC NEW.  1: OV; SG (COMIC ITALIAN); CN FL; SG (SERIOUS); OV; DT 2v (SERIOUS); SG (BURLESQUE ITALIAN); SN HPD (ON VN VN; WITH TWO_SMALL_PIECES_OF_WOOD LIKE MATCHES) [dt vn vn].  2: OV; SG (SERIOUS); CNte VN VN; SG (COMIC); CN FL; SG (COMIC ITALIAN).,PA,,* Three Italian musicians; blind from birth [cf 11 May].,1773-06-03 19:00:00
1708,1709,M,MARYBONE 73,GS,,[burletta. also:] HANDEL o ^CORONATION_ANTHEM^ <ANTHEMS>.,PA,,Anthems at 2030. [Cf 27 May.] [LS.],
1709,1710,HAT,WALL_DU_VAL 73,CB,10s 6d (g+l / 2l),LEAD COCKLIN; V LEONI. SL VN COCKLIN; CN ORG YOUNG_GENTLEMAN (FIRST PERFORMANCE IN PUBLIC).,MC,,Annual subscription night: gala; ball (2100) and concert.,1773-06-10 19:30:00
1710,1711,M,MARYBONE 73,GS,,[burletta. also concert:] CN BN LE_COUTEUX (1ST PERFORMANCE IN THIS KINGDOM); CN VN BARTHELEMON; COMIC_ACT THREE_ITALIAN_MUSICIANS.,PA,,Three Italian musicians; blind from birth. [Cf 27 May.] [LS.] [And subsequently; not listed.],
1711,1712,M,MARYBONE 73,GS,,[burletta. also concert:] V THOMPSON~j WILDE~ BARTHELEMON~m. COMIC_ACT THREE_ITALIAN_MUSICIANS; CN VN BARTHELEMON.,PA,,[Cf 27 May.] Three Italian musicians; blind from birth. [LS.] [And subsequently; not listed.],
1712,1713,M,MARYBONE 73,GS,2s 6d,V THOMPSON~j WILDE~ BARTHELEMON~m. CN VN BARTHELEMON~m; COMIC_ACT THREE_ITALIAN_MUSICIANS (BLIND FROM BIRTH).,PA,,With fireworks.,
1713,1714,M,MARYBONE 73,GS,2s 6d,V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m.,PA,,With fireworks.,
1714,1715,M,TORRE 73,GB,3s 6d,V THOMPSON~j WILDE~ BARTHELEMON~m. CN VN BARTHELEMON.,PA,,And fireworks (by Torre).,
1715,1716,M,MARYBONE 73,GS,,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. CN ORG HOOK; CN VN BARTHELEMON.,PA,,[Cf 27 May.] [LS.],
1716,1717,M,TORRE 73,GB,3s 6d,V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m.,PA,,And fireworks (by Torre). [Second benefit.],
1717,1718,M,BARTHELEMON~m 73,GB,3s 6d,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. CN ORG HOOK; SL VN BARTHELEMON; sg BARTHELEMON~m <CANTATA> (NEW) + HPD BARTHELEMON~m.,PA,,[Cf 27 May.] [LS.],
1718,1719,M,MARYBONE 73,GS,,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. CN ORG HOOK; SL VN BARTHELEMON.,PA,,[Cf 27 May.] [LS.] [And subsequently without instrumental items; not listed.],
1719,1720,M,THOMPSON~j 73,GB,3s 6d,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. SG THOMPSON~j 'WITH_HORNS'; sg THOMPSON~j 'THE_MILK_MAID' <CANTATA> (FAV); CN ORG HOOK; SL VN BARTHELEMON.,PA,,[Cf 27 May.] [LS.],
1720,1721,M,PIGUENIT 73,GB,3s 6d,[burletta. also concert:] ARNOLD o ^the_power_of_music^ <ODE_IN_PRAISE_OF_MUSIC> [with chorusses]. V REINHOLD MEREDITH-1 THOMPSON~j BARTHELEMON~m; CHORUS_SINGERS.,PA,,[Cf 27 May.] Piguenit: treasurer. [LS.] Ode: text by John Hughes (never performed but at Oxford).,
1721,1722,M,MARYBONE 73,GS,,[burletta. also concert:] ARNOLD o ^the_power_of_music^ <ODE_IN_PRAISE_OF_MUSIC> [with chorusses]: V REINHOLD MEREDITH-1 THOMPSON~j BARTHELEMON~m; CHORUS_SINGERS.,PA,,[Cf 27 May.] [LS.] Ode at 2000.,
1722,1723,M,WILDE~ 73,GB,3s 6d,[burletta. also concert:] CT GL <CTS AND GLS> DIR ARNE-ta <DR>. LSN HPD WILDE~; CN VN BARTHELEMON (FAV); ARNOLD SG REINHOLD 'THE_WOODEN' <ODE>.,PA,,[Cf 27 May.] Catches and glees (not these two years) selected from the collection of the [Noblemen's] .. Catch Club. [LS.],
1723,1724,M,MARYBONE 73,GS,,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. SG SIBBILLA (BURLESQUE LAUGHING SG; 1ST PERFORMANCE IN THIS KINGDOM).,PA,,[Cf 27 May.] [LS.] [And subsequently; not listed.],
1724,1725,M,PHILLIPS-e 73,GB,3s 6d,[burletta. also concert:] CT GL <CTS AND GLS> DIR ARNE-ta <DR>. SG BARTHELEMON~m (FAV ITALIAN); CN VN BARTHELEMON.  [PHILLIPS-e.],PA,,[Cf 27 May.] [LS.] [As on 5 Aug.],
1725,1726,M,MARYBONE 73,GS,2s 6d,ARNOLD o ^ODE_FOR_THE_PRINCE_OF_WALES'_BIRTHDAY^ <ODE IN HONOUR OF THE PRINCE_OF_WALES'S BIRTHDAY> [with chorusses]. V REINHOLD THOMPSON~j WILDE~ BARTHELEMON~m; CHORUS_SINGERS. CN ORG HOOK; SL VN BARTHELEMON.,PA; PA 17 Aug,,[For] Prince of Wales's birthday (written for the occasion). From 17 Aug (wet weather).,
1726,1727,M,BARTHELEMON 73,GB,3s 6d,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. CN ORG HOOK; CNte VN TPT ARCHER GREEN; CN VN BARTHELEMON (INCLUDING FAV IRISH AIR WITH VAR).,PA; PA 14 Aug,,[Cf 27 May.] From 21 Aug (rain etc.). ARCHER: scholar of BARTHELEMON; GREEN: scholar of JONES. [LS.],
1727,1728,M,MARYBONE 73,GS,,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. sg BARTHELEMON~m 'THE_SEASONS' <BALLAD> (FAV); CN ORG HOOK; CN VN BARTHELEMON (WITH FAV IRISH AIR + VAR).,PA,,[Cf 27 May.] [LS.],
1728,1729,M,HOOK 73,GB,3s 6d,[burletta. also concert:] V PHILLIPS-e WILDE~. CN VN BARTHELEMON (FAV). HOOK o ^APOLLO_AND_DAPHNE^ <SERENATA> (NEW; 1ST TIME): V REINHOLD THOMPSON~j BARTHELEMON~m. [between parts:] CN PF HOOK (FAV; WITH VAR ON 'LOVELY_NANCY').,PA,,[Cf 27 May.] [LS.],1773-08-27 19:00:00
1729,1730,M,MARYBONE 73,GS,,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. CN ORG HOOK; SL VN BARTHELEMON.,PA 1 Sept,,[Cf 27 May.],
1730,1731,M,MARYBONE 73,GS,,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. CN VN BARTHELEMON.,PA,,[Cf 27 May.] [LS.] [And subsequently; not listed.],
1731,1732,M,WOODMAN~ 73,GB,3s 6d,[burletta. also concert:] V PHILLIPS-e WILDE~ BARTHELEMON~m. SG WOODMAN~ <AIRS> (FAV; FIRST TIME ... IN ANY GARDENS).,PA; PA 6 Sept,,[Cf 27 May.] [LS.] WOODMAN~: widow with large family. From 4 Sept.,
1732,1733,M,WOODMAN~ 73,GB,3s 6d,[burletta. also concert:] V PHILLIPS-e WILDE~ BARTHELEMON~m. SG WOODMAN~ <AIRS> (FAV).,PA,,[Cf 27 May.] [LS.] [A second benefit; following heavy expense of the first [8 Sept].],
1733,1734,M,DOORKEEPERS 73,GB,,[burletta. also concert:] V PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m. SG BARTHELEMON~m 'OH!_SWEET' (FAV); SG WILDE~ 'THE_SOLDIER'; CN VN BARTHELEMON; CN ORG HOOK (FAV); CN TPT GREEN.,PA,,[Cf 27 May.] [LS.],
1734,1735,M,MARYBONE 73,GS,2s 6d,ARNOLD o ^the_power_of_music^ <ODE_IN_PRAISE_OF_MUSIC> [with chorusses]: V REINHOLD BURTON-1 PHILLIPS-e THOMPSON~j WILDE~ BARTHELEMON~m; CHORUS_SINGERS.,PA,,,1773-09-14 20:30:00
1735,1736,M,MARYBONE 73,GS,3s 6d,CT GL <CTS AND GLS> COND ARNE-ta <DR>. o ^THE_FEAST_OF_CHRONONHOTONTHOLOGOS^ <BURLESQUE ODE>.,PA; PA 10 Sept,,Comus's Court. Ode written by Thornton. From 10 Sept (weather). Selected from collection of [Noblemen's] .. Catch Club.,1773-09-15 19:00:00
1736,1737,M,WAITERS 73,GB,2s 6d,[burletta. also concert:] V PHILLIPS-e WILDE~ BARTHELEMON~m. sg THOMPSON~j 'THE_MILK_MAID' <CANTATA> (FAV); SG BARTHELEMON~m (FAV); CN ORG HOOK; SL VN BARTHELEMON; CN TPT GREEN.,PA,,[Cf 27 May.] [LS.],
1737,1738,SSQ,BACH-ABEL 74 1ST,CS,Transf,DIR ABEL; [BACH].,PA; PA 22 Dec 1773,Letters of the First Earl of Malmesbury (London 1870) i.278-9; Burrows-Harris 757-8,[Subscription] now limited to 500. No ticket but those of the night will be taken.,1774-01-12 19:00:00
1738,1739,SSQ,BACH-ABEL 74 2ND,CS,,DIR BACH; [ABEL].,PA,,,1774-01-19 19:00:00
1739,1740,SSQ,SOHO GALA 74,MI,,COND SACCHINI. SACCHINI MUSIC (NEVER PERFORMED IN THIS COUNTRY).,PA,PA 22 Jan (news),Mrs Cornelys' annual grand gala [for Queen's] birthday; beginning with concert.,1774-01-20 21:00:00
1740,1741,P,PANTHEON 74 1ST,CS,For twelve: 6gn *,DIR ARNOLD VENTO (BOTH COMPOSE AND CONDUCT); LEAD GIARDINI; V SALVAGNI~1 WEICHSELL~f LEONI SANDALI. TWO PARTS ITALIAN (COMPOSER: VENTO); [ONE PART ENGLISH:] ARNOLD o ^ODE_FOR_THE_QUEEN'S_BIRTHDAY^ <ODE IN HONOUR OF HER MAJESTY'S BIRTHDAY>.,PA; PA 30 Dec 1773,,* 12 tickets may be used any night (no less than 12 available). Ends c.2200; dancing if desired. Italian/English music.,1774-01-24 20:00:00
1741,1742,SSQ,BACH-ABEL 74 3RD,CS,,DIR ABEL; [BACH].,PA,,,1774-01-26 19:00:00
1742,1743,P,PANTHEON 74 2ND,CS,*,TWO PARTS ENGLISH (COMPOSER: ARNOLD); ONE PART ITALIAN (COMPOSER: VENTO).,PA; PA 27 Jan,,* After objections; any number of tickets available (not less than two). Each admits one to any night.,1774-01-31 20:00:00
1743,1744,SSQ,BACH-ABEL 74 4TH,CS,,DIR BACH; [ABEL].,PA,,,1774-02-02 19:00:00
1744,1745,SSQ,BACH-ABEL 74 5TH,CS,,DIR ABEL; [BACH].,PA,,,1774-02-09 19:00:00
1745,1746,KT,DECAYED MUSICIANS 74,CB,PB 10s 6d; FG 5s; SG 3s 6d,OPERA_SINGERS; OPERA_ORCH.  1: OV; SG GALLI~; SG SCHEROLI; CN CL BEER (FIRST TIME ... PUBLICLY IN ENGLAND); SG DAVIES~c.  2: SG FOCHETTI; SG SCHEROLI; CN FL TACET; SG DAVIES~c; CN BN RITTER (1ST TIME ... PUBLICLY IN ENGLAND); SG MILLICO.  3: CN VN CRAMER-w; SG GALLI~; CN VC CERVETTO-j; SG MILLICO; CN OB FISCHER; SG DAVIES~c; BACH OV 2ORCH (GRAND).,PA,,Subscriber's ticket admits one [anywhere]. [LS.],1774-02-10 18:30:00
1746,1747,H,NEW GENERAL LYING-IN HOSPITAL 74,CB,10s 6d,COND ARNOLD; LEAD CRAMER-w; V MEREDITH-1 WEICHSELL~f. CN VN CRAMER-w; CN FL TACET; CN OB FISCHER.,PA,,New General Lying-In Hospital; Store Street.,1774-02-11 19:00:00
1747,1748,C&A,CLARK 74,CB,5s,V CLARK WEWITZER~1. CN TPT GREEN; CN BN WARD-3; CN FL PALMER-2. END: ARNE-ta o ^THE_THEOREM^ <DR> (WITH GRAND CHORUSSES): V CLARK.,MC,,And ball. Concert ends at 2200. CLARK: organist of St Paul's Covent Garden. GREEN: scholar of JONES.,1774-02-11 18:30:00
1748,1749,P,PANTHEON 74 3RD,CS,,TWO PARTS ITALIAN; ONE PART ENGLISH. V SALVAGNI~1 WEICHSELL~f LEONI SAVOI MEREDITH-1. BETWEEN PARTS: CN VN GIARDINI; CN OB RODELL.,PA; PA 27 Jan,,From 7 Feb (masked ball).,
1749,1750,DL,DL ORATORIO 74 [1ST],OS,P 10s 6d; B 5s; FG 3s 6d; SG 2s,HANDEL o ^JUDAS_MACCABAEUS^ <ORATORIO>. END PART1: CN OB FISCHER. END PART2: CN VN VACHON.,PA,,[LS.],1774-02-18 18:30:00
1750,1751,HAY,HAY ORATORIO 74 [1ST],OS,P 5s; B 3s; FG 2s; SG 1s,HANDEL o ^MESSIAH^ <SACRED ORATORIO>. V VERNON CHAMPNESS SCOTT~ BARTHELEMON~m. [AFTER PART1:] CN ORG BURNEY-cr. AFTER PART2: CN VN BARTHELEMON.,PA,,[LS.],1774-02-18 18:30:00
1751,1752,P,PANTHEON 74 4TH,CS,,TWO PARTS ENGLISH; ONE PART ITALIAN. V WEICHSELL~f LEONI SAVOI MEREDITH-1. BETWEEN PARTS: CN VN GIARDINI; CN VC CROSDILL.,PA,,,1774-02-21 20:00:00
1752,1753,SSQ,BACH-ABEL 74 6TH,CS,,DIR BACH; [ABEL].,PA,,,1774-02-23 19:00:00
1753,1754,DL,DL ORATORIO 74 [2ND],OS,P 10s 6d; B 5s; FG 3s 6d; SG 2s,HANDEL o ^SAMSON^ <ORATORIO>. END PART1: CN OB FISCHER. END PART2: CN ORG STANLEY.,PA,,[LS.],1774-02-23 18:30:00
1754,1755,HAY,HAY ORATORIO 74 [2ND],OS,P 5s; B 3s; FG 2s; SG 1s,HANDEL o ^SAMSON^ <ORATORIO>. V VERNON CHAMPNESS SCOTT~ BARTHELEMON~m. AFTER PART1: SL VC CIRRI [replaced CN ORG BURNEY-cr]. AFTER PART2: CN VN BARTHELEMON.,PA; PA 19 Feb,,[LS.],1774-02-23 18:30:00
1755,1756,H,NOFERI 74,CB,10s 6d,DIR BACH ABEL. GRASSI~ GALLI~ TACET CERVETTO-j NOFERI OPERA_ORCH.,PA,,,1774-02-25 19:00:00
1756,1757,DL,DL ORATORIO 74 [3RD],OS,P 10s 6d; B 5s; FG 3s 6d; SG 2s,handel o ^ALEXANDER'S_FEAST^; HANDEL o ^CORONATION_ANTHEM^ <ANTHEMS>. END PART1: CN OB FISCHER. END PART2: CN ORG STANLEY.,PA,,[LS.],1774-02-25 18:30:00
1757,1758,HAY,HAY ORATORIO 74 [3RD],OS,P 5s; B 3s; FG 2s; SG 1s,(from HANDEL) o ^OMNIPOTENCE^ <SACRED ORATORIO> (NEVER PERFORMED IN PUBLIC). V VERNON CHAMPNESS SCOTT~ BARTHELEMON~m. AFTER PART1: BARTHELEMON SG BARTHELEMON~m + VN (NEW ITALIAN). AFTER PART2: CN VN BARTHELEMON (WITH SCOTCH AIR 'LOCHABER').,PA,PA 26 Feb (news),[LS.],1774-02-25 18:30:00
1758,1759,P,PANTHEON 74 5TH,CS,,TWO PARTS ITALIAN; ONE PART ENGLISH. V SALVAGNI~1 WEICHSELL~f LEONI SAVOI MEREDITH-1. AFTER PART1: QT FL VN VN VC RODELL GIARDINI BORGHI CROSDILL. AFTER PART2: CN VN GIARDINI.,PA,,,1774-02-28 20:00:00
1759,1760,SSQ,BACH-ABEL 74 7TH,CS,,DIR ABEL; [BACH].,PA,,,1774-03-02 19:00:00
1760,1761,DL,DL ORATORIO 74 [4TH],OS,P 10s 6d; B 5s; FG 3s 6d; SG 2s,SMITH-jc o ^PARADISE_LOST^ <ORATORIO>. END PART1: CN OB FISCHER. END PART2: CN VN VACHON.,PA,,[LS.],1774-03-02 18:30:00
1761,1762,HAY,HAY ORATORIO 74 [4TH],OS,P 5s; B 3s; FG 2s; SG 1s,(from HANDEL) o ^OMNIPOTENCE^ <SACRED ORATORIO>. V VERNON CHAMPNESS SCOTT~ BARTHELEMON~m. AFTER PART1: BARTHELEMON SG BARTHELEMON~m + VN (NEW ITALIAN). AFTER PART2: CN VN BARTHELEMON.,PA,,[LS.],1774-03-02 18:30:00
